,link,site,category
174,https://www.nyasatimes.com/malawi-police-arrest-two-people-over-indian-hemp/,www.nyasatimes.com,chamba
175,https://mwnation.com/acb-investigation-officer-arrested-over-chamba/,mwnation.com,chamba
176,https://www.nyasatimes.com/ras-chikomeni-declares-hed-be-a-better-president-than-what-malawi-has-now/,www.nyasatimes.com,chamba
177,https://mwnation.com/people-need-iec-on-industrial-hemp-legalisation/,mwnation.com,chamba
178,https://www.nyasatimes.com/two-jailed-six-years-over-40-bags-of-indian-hemp/,www.nyasatimes.com,chamba
179,https://mwnation.com/hemp-legal-music-shows/,mwnation.com,chamba
180,https://www.nyasatimes.com/ma-black-back-calls-for-legal-hemp-in-malawi/,www.nyasatimes.com,chamba
181,https://times.mw/t-bills-open-to-all-malawians-rbm/,times.mw,chamba
182,https://www.nyasatimes.com/court-fines-chilobwe-man-over-mutilation-of-national-identity-cards/,www.nyasatimes.com,chamba
183,https://www.mwnation.com/how-to-deal-with-drug-shortages/,www.mwnation.com,chamba
184,https://mwnation.com/police-arrest-mdf-soldier-over-indian-hemp/,mwnation.com,chamba
185,https://www.nyasatimes.com/malawi-airport-police-intercept-uk-bound-marijuana-from-zimbabwe/,www.nyasatimes.com,chamba
186,https://www.nyasatimes.com/malawi-police-nab-indian-hemp-peddlers-in-nkhotakota/,www.nyasatimes.com,chamba
188,https://mwnation.com/are-police-roadblocks-effective/,mwnation.com,chamba
190,https://www.nyasatimes.com/malawi-savings-bank-shamed-with-nepotism/,www.nyasatimes.com,chamba
191,https://mwnation.com/rbm-for-increased-financial-literacy/,mwnation.com,chamba
192,https://www.nyasatimes.com/hemps-legalisation-debate-gaining-ground-in-malawi/,www.nyasatimes.com,chamba
193,https://times.mw/only-3-access-formal-credit-rbm/?amp=1,times.mw,chamba
195,https://www.nyasatimes.com/private-sector-raises-k415m-for-malawi-secondary-education-at-sanjika-presidential-dinner/,www.nyasatimes.com,chamba
196,https://www.nyasatimes.com/2-magistrates-2-prosecutors-arrested-malawi-police-say-they-sold-indian-hemp-exhibited-in-court/,www.nyasatimes.com,chamba
197,https://www.nyasatimes.com/man-in-court-for-mutilating-malawi-national-ids/,www.nyasatimes.com,chamba
198,https://www.zodiakmalawi.com/entertainment-news/safe-havens-created-for-flood-victims/1726-safe-havens-created-for-flood-victims?start=5,www.zodiakmalawi.com,chamba
199,https://mwnation.com/i-repeat-iec-is-required-on-industrial-hemp/,mwnation.com,chamba
205,https://mwnation.com/malawi-lawmaker-wants-hemp-legalised/,mwnation.com,hemp
207,https://www.nyasatimes.com/questions-industrial-hemp-malawi/,www.nyasatimes.com,hemp
209,https://times.mw/uk-advises-malawi-to-consider-hemp/,times.mw,hemp
210,https://www.nyasatimes.com/high-court-to-review-mussas-sentence-on-indian-hemp-possession/,www.nyasatimes.com,hemp
211,https://mwnation.com/industrial-hemp-go-commercial-year/,mwnation.com,hemp
212,https://www.nyasatimes.com/malawi-research-industrial-hemp-completed/,www.nyasatimes.com,hemp
213,https://www.nyasatimes.com/court-fines-castel-malawi-boss-k1m-for-cultivating-hemp/,www.nyasatimes.com,hemp
214,https://times.mw/objectivity-crucial-on-industrial-hemp/,times.mw,hemp
215,https://times.mw/indian-hemp-cultivation-not-rampant-in-nkhotakota/,times.mw,hemp
216,https://www.nyasatimes.com/mzuzu-teen-boy-in-cooler-over-hemp-business/,www.nyasatimes.com,hemp
217,https://www.nyasatimes.com/mra-intercepts-bags-of-indian-hemp-gives-chase-to-culprits/,www.nyasatimes.com,hemp
218,https://www.nyasatimes.com/malawi-parliament-nods-to-industrial-hemp-legalization/,www.nyasatimes.com,hemp
221,https://times.mw/industrial-hemp-awaits-cabinet-approval/,times.mw,hemp
222,https://www.nyasatimes.com/economist-says-malawi-needs-to-weigh-merits-demerits-of-industrial-hemp/,www.nyasatimes.com,hemp
223,https://www.nyasatimes.com/mwimba-college-of-agriculture-to-introduce-industrial-hemp-lessons/,www.nyasatimes.com,hemp
224,https://www.nyasatimes.com/police-arrest-man-with-6-bags-of-indian-hemp/,www.nyasatimes.com,hemp
225,https://www.nyasatimes.com/police-burn-109-bags-indian-hemp-belonging-to-sajid-of-capital-furniture/,www.nyasatimes.com,hemp
226,https://www.nyasatimes.com/malawi-police-uproot-405-plants-hemp-northern-region/,www.nyasatimes.com,hemp
229,https://www.nyasatimes.com/anjiru-bash-death-rumours-with-performance-at-industrial-hemp-campaign/,www.nyasatimes.com,hemp
231,https://www.nyasatimes.com/man-arrested-for-cultivaging-indian-hemp/,www.nyasatimes.com,hemp
232,https://www.nyasatimes.com/drug-fight-malawi-against-industrial-hemp-research/,www.nyasatimes.com,hemp
234,https://www.nyasatimes.com/ma-blacks-in-first-open-air-industrial-hemp-awareness-campaign-in-malawi/,www.nyasatimes.com,hemp
236,https://times.mw/renewed-calls-for-hemp-cultivation/,times.mw,hemp
238,https://www.nyasatimes.com/lilongwe-woman-arrested-for-indian-hemp/,www.nyasatimes.com,hemp
239,https://times.mw/tag/industrial-hemp/,times.mw,hemp
240,https://mwnation.com/industrial-hemp-blessing-or-curse/,mwnation.com,hemp
241,https://times.mw/mhen-drug-fight-call-for-research-on-hemp/,times.mw,hemp
242,https://www.nyasatimes.com/legal-hemp-malawi-rope-not-dope-larger-picture-albino-attacks/,www.nyasatimes.com,hemp
243,https://www.nyasatimes.com/2-malawi-army-soldiers-arrested-over-indian-hemp/,www.nyasatimes.com,hemp
245,https://www.nyasatimes.com/malawi-police-arrest-woman-found-3-bags-indian-hemp/,www.nyasatimes.com,hemp
249,https://www.nyasatimes.com/two-arrested-found-possession-indian-hemp/,www.nyasatimes.com,hemp
250,https://mwnation.com/questions-about-industrial-hemp/,mwnation.com,hemp
251,https://times.mw/on-the-saddle-pigeon-peas-not-hemp-is-what-can-help-malawi/,times.mw,hemp
252,https://www.nyasatimes.com/tanzanian-caught-with-bags-of-indian-hemp-in-malawi-police-custody/,www.nyasatimes.com,hemp
